Id,Name,Rating,Genre,Release_year,Imdb_score,release_date,votes,runtime,
1,The Shining,R,Drama,1980,8.4,"June 13, 1980 ",927000,146,
2,The Blue Lagoon,R,Adventure,1980,5.8,"July 2, 1980 ",65000,104,
3,Star Wars: Episode V - The Empire Strikes Back,PG,Action,1980,8.7,"June 20, 1980 ",1200000,124,
4,Airplane!,PG,Comedy,1980,7.7,"July 2, 1980 ",221000,88,
5,Caddyshack,R,Comedy,1980,7.3,"July 25, 1980 ",108000,98,
6,Friday the 13th,R,Horror,1980,6.4,"May 9, 1980 ",123000,95,
7,The Blues Brothers,R,Action,1980,7.9,"June 20, 1980 ",188000,133,
8,Raging Bull,R,Biography,1980,8.2,"December 19, 1980 ",330000,129,
9,Superman II,PG,Action,1980,6.8,"June 19, 1981 ",101000,127,
10,The Long Riders,R,Biography,1980,7,"May 16, 1980 ",10000,100,
11,Any Which Way You Can,PG,Action,1980,6.1,"December 17, 1980 ",18000,116,
12,The Gods Must Be Crazy,PG,Adventure,1980,7.3,"October 26, 1984 ",54000,109,
13,Popeye,PG,Adventure,1980,5.3,"December 12, 1980 ",30000,114,
14,Ordinary People,R,Drama,1980,7.7,"September 19, 1980 ",49000,124,
15,Dressed to Kill,R,Crime,1980,7.1,"July 25, 1980 ",37000,104,
16,Somewhere in Time,PG,Drama,1980,7.2,"October 3, 1980 ",27000,103,
17,Fame,R,Drama,1980,6.6,"May 16, 1980 ",21000,134,
18,9 to 5,PG,Comedy,1980,6.9,"December 19, 1980 ",29000,109,
19,The Fog,R,Horror,1980,6.8,"February 8, 1980 ",66000,89,
20,Stir Crazy,R,Comedy,1980,6.8,"December 12, 1980 ",26000,111,
21,Cruising,R,Crime,1980,6.5,"February 15, 1980 ",20000,102,
22,Heaven's Gate,R,Adventure,1980,6.8,"April 24, 1981 ",14000,219,
23,The Final Countdown,PG,Action,1980,6.7,"August 1, 1980 ",22000,103,
24,Xanadu,PG,Fantasy,1980,5.3,"August 8, 1980 ",12000,96,
25,Urban Cowboy,PG,Drama,1980,6.4,"June 6, 1980 ",14000,132,
26,Altered States,R,Horror,1980,6.9,"December 25, 1980 ",33000,102,
27,Little Darlings,R,Comedy,1980,6.5,"March 21, 1980 ",5100,96,
28,Raise the Titanic,PG,Action,1980,5,"August 1, 1980 ",4100,115,
29,Brubaker,R,Crime,1980,7.2,"June 20, 1980 ",17000,131,
30,American Gigolo,R,Crime,1980,6.2,"February 1, 1980 ",22000,117,
31,My Bodyguard,PG,Comedy,1980,7.1,"September 26, 1980 ",8900,102,
32,Prom Night,R,Horror,1980,5.4,"July 18, 1980 ",16000,92,
33,Smokey and the Bandit II,PG,Action,1980,5.3,"August 15, 1980 ",15000,100,
34,Cattle Annie and Little Britches,PG,Drama,1980,6.1,"April 24, 1981 ",604,97,
35,Seems Like Old Times,PG,Comedy,1980,6.7,"December 19, 1980 ",9100,102,
36,Private Benjamin,R,Comedy,1980,6.2,"October 10, 1980 ",24000,109,
37,The Hollywood Knights,R,Comedy,1980,6.3,"May 30, 1980 ",4300,91,
38,Motel Hell,R,Comedy,1980,6,"October 24, 1980 ",11000,101,
39,The Jazz Singer,PG,Drama,1980,5.9,"December 19, 1980 ",4000,115,
40,Coal Miner's Daughter,PG,Biography,1980,7.5,"March 7, 1980 ",17000,124,
41,The Watcher in the Woods,PG,Family,1980,6.3,"October 9, 1981 ",5700,84,
42,Breaker Morant,PG,Drama,1980,7.9,"July 3, 1980 ",13000,107,
43,The Stunt Man,R,Action,1980,7.1,"June 27, 1980 ",9000,131,
44,Where the Buffalo Roam,R,Biography,1980,6.6,"April 25, 1980 ",11000,99,
45,The Awakening,R,Horror,1980,4.8,"October 31, 1980 ",2000,101,
46,Cheech and Chong's Next Movie,R,Comedy,1980,6.1,"July 18, 1980 ",12000,99,
47,The Island,R,Action,1980,5.3,"June 13, 1980 ",3900,109,
48,The Boogey Man,R,Horror,1980,4.6,"November 7, 1980 ",3900,82,
49,The Nude Bomb,PG,Action,1980,5.1,"May 9, 1980 ",3100,94,
50,Lion of the Desert,PG,Biography,1980,8.3,"May 16, 1981 ",15000,173,
51,Stardust Memories,PG,Comedy,1980,7.3,"September 26, 1980 ",22000,89,
52,Melvin and Howard,R,Comedy,1980,6.8,"September 19, 1980 ",4500,95,
