Id,awards_won,first_award,,
1,5,Grammy,,
2,1,CANNES,,
3,2,TVStars,,
4,3,IIFA,,
5,1,National Award,,
6,0,TVStars,,
7,8,Emmy,,
8,7,Grammy,,
9,0,National Award,,
10,3,Emmy,,
11,8,IITA,,
12,2,Oscar,,
13,8,Emmy,,
14,5,Oscar,,
15,6,TVStars,,
16,4,Grammy,,
17,1,IIFA,,
18,5,TVStars,,
19,4,TVStars,,
20,3,IITA,,
21,5,Oscar,,
22,1,IITA,,
23,4,IITA,,
24,7,National Award,,
25,0,Oscar,,
26,6,Emmy,,
27,5,CANNES,,
28,7,TVStars,,
29,3,Grammy,,
30,5,Oscar,,
31,7,Emmy,,
32,7,Emmy,,
33,0,CANNES,,
34,2,National Award,,
35,8,National Award,,
36,5,Emmy,,
37,2,FilmFare,,
38,2,National Award,,
39,1,National Award,,
40,3,National Award,,
41,7,CANNES,,
42,1,Emmy,,
43,8,FilmFare,,
44,1,Oscar,,
45,5,Oscar,,
46,4,IITA,,
47,2,CANNES,,
48,5,FilmFare,,
49,1,IIFA,,
50,5,IIFA,,
51,4,Emmy,,
52,3,FilmFare,,
53,4,CANNES,,
54,4,IIFA,,
55,4,TVStars,,
56,1,Emmy,,
57,3,FilmFare,,
58,6,Oscar,,
59,8,Oscar,,
60,4,National Award,,
61,3,Grammy,,
62,2,Grammy,,
63,4,Oscar,,
64,4,IIFA,,
65,0,National Award,,
66,3,Oscar,,
67,3,Emmy,,
68,5,Grammy,,
69,8,CANNES,,
70,8,IIFA,,
71,2,FilmFare,,
72,2,FilmFare,,
73,8,IIFA,,
74,1,National Award,,
75,3,National Award,,
76,8,Oscar,,
77,4,Emmy,,
78,4,TVStars,,
79,1,IIFA,,
80,7,TVStars,,
81,6,Emmy,,
82,6,IITA,,
83,3,IIFA,,
84,7,Emmy,,
85,6,Grammy,,
86,2,FilmFare,,
87,8,Emmy,,
88,2,Oscar,,
89,7,Oscar,,
90,8,TVStars,,
91,1,Oscar,,
92,7,IIFA,,
93,2,CANNES,,
94,4,Grammy,,
95,3,IIFA,,
96,8,IITA,,
97,4,FilmFare,,
98,4,IITA,,
99,7,Emmy,,
100,8,FilmFare,,
101,5,Emmy,,
102,0,Emmy,,
103,0,IIFA,,
104,2,FilmFare,,
105,0,Grammy,,
106,7,Oscar,,
107,0,FilmFare,,
108,3,CANNES,,
109,5,TVStars,,
110,6,FilmFare,,
111,6,Oscar,,
112,2,FilmFare,,
113,2,IIFA,,
114,5,Oscar,,
115,0,Emmy,,
116,3,IIFA,,
117,3,Emmy,,
118,4,Grammy,,
119,6,Emmy,,
120,2,Grammy,,
121,0,IITA,,
122,1,Grammy,,
123,8,IIFA,,
124,5,TVStars,,
125,4,TVStars,,
126,1,IIFA,,
127,6,TVStars,,
128,6,IITA,,
129,8,National Award,,
130,2,Emmy,,
131,0,National Award,,
132,4,National Award,,
133,0,FilmFare,,
134,1,TVStars,,
135,4,Oscar,,
136,7,IIFA,,
137,3,Emmy,,
138,5,Emmy,,
139,8,IIFA,,
140,1,TVStars,,
141,7,IIFA,,
142,1,IIFA,,
143,7,TVStars,,
144,2,FilmFare,,
145,3,Oscar,,
146,5,Emmy,,
147,3,FilmFare,,
148,0,FilmFare,,
149,4,CANNES,,
150,5,FilmFare,,
151,8,Emmy,,
152,2,Emmy,,
153,8,FilmFare,,
154,0,IIFA,,
155,6,IITA,,
156,0,Oscar,,
157,2,FilmFare,,
158,3,IITA,,
159,4,National Award,,
160,6,CANNES,,
161,3,CANNES,,
162,2,CANNES,,
163,7,Oscar,,
164,8,Emmy,,
165,5,Grammy,,
166,5,FilmFare,,
167,8,National Award,,
168,7,IIFA,,
169,3,National Award,,
170,7,Emmy,,
171,8,TVStars,,
172,2,TVStars,,
173,8,IIFA,,
