Id,budget,gross,,
1,19000000,46998772,,
2,4500000,58853106,,
3,18000000,538375067,,
4,3500000,83453539,,
5,6000000,39846344,,
6,550000,39754601,,
7,27000000,115229890,,
8,18000000,23402427,,
9,54000000,108185706,,
10,10000000,15795189,,
11,15000000,70687344,,
12,5000000,30031783,,
13,20000000,49823037,,
14,6000000,54766923,,
15,6500000,31899000,,
16,5100000,9709597,,
17,,21202829,,
18,10000000,103300686,,
19,1000000,21448782,,
20,,101300000,,
21,11000000,19814523,,
22,44000000,3484523,,
23,12000000,16647800,,
24,20000000,22762571,,
25,,46918287,,
26,,19853892,,
27,,34326249,,
28,36000000,,,
29,9000000,37121708,,
30,4800000,22743674,,
31,,22482952,,
32,,14796236,,
33,,66132626,,
34,5100000,534816,,
35,,43995918,,
36,10000000,69847348,,
37,4000000,10000000,,
38,3000000,6342668,,
39,,27118000,,
40,,67182787,,
41,,5000000,,
42,,,,
43,3500000,7063886,,
44,,6659377,,
45,,8415112,,
46,,41675194,,
47,22000000,15716828,,
48,300000,,,
49,15000000,14662035,,
50,35000000,,,
51,10000000,10389003,,
52,7000000,4309490,,
53,20000000,,,
54,6500000,24265659,,
55,,12516,,
56,,,,
57,20000000,3763988,,
58,6000000,6216067,,
59,4000000,18971000,,
60,11000000,,,
61,,18000000,,
62,,14287755,,
63,,,,
64,,17815212,,
65,,3910019,,
66,,7653061,,
67,900000,,,
68,,10697276,,
69,,9870727,,
70,,15934737,,
71,,14155617,,
72,,2013193,,
73,,5215015,,
74,,4226370,,
75,,2086905,,
76,6000000,11000000,,
77,,6321392,,
78,5500000,4400000,,
79,,109749,,
80,3000000,,,
81,5100000,59167,,
82,,2128395,,
83,,2806659,,
84,,167451,,
85,,14504277,,
86,,804713,,
87,,6950125,,
88,,6621520,,
89,,2261507,,
90,,1175855,,
91,,15198912,,
92,,,,
93,18000000,389925971,,
94,,24058838,,
95,10000000,30669378,,
96,6000000,25244626,,
97,350000,2956630,,
98,2500000,111289673,,
99,18000000,12000000,,
100,15000000,41092328,,
101,11000000,34971136,,
102,3000000,23668369,,
103,,11487676,,
104,10000000,85297000,,
105,,1113538,,
106,18000000,72179579,,
107,5500000,11492915,,
108,,32492674,,
109,5000000,42368025,,
110,,50427646,,
111,1250000,21722776,,
112,,14225876,,
113,28000000,54813222,,
114,2500000,25533818,,
115,14000000,35856053,,
116,32000000,40382659,,
117,,119285432,,
118,12000000,63456988,,
119,5500000,59303359,,
120,12000000,40716963,,
121,6500000,36565280,,
122,10000000,10853418,,
123,7000000,95461682,,
124,,5073,,
125,,15965924,,
126,3000000,,,
127,11000000,31672907,,
128,1000000,17985893,,
129,18000000,14110013,,
130,3000000,1752634,,
131,12500000,20962615,,
132,5000000,20471382,,
133,5000000,19032261,,
134,2800000,26279000,,
135,12000000,12376625,,
136,,14920781,,
137,2500000,8279042,,
138,8500000,6400000,,
139,,5732587,,
140,16000000,17374595,,
141,,,,
142,12000000,14867086,,
143,400000,123843,,
144,,23371905,,
145,,5672031,,
146,,7886857,,
147,26000000,636796,,
148,,26890068,,
149,,31206251,,
150,10000000,12850276,,
151,8000000,,,
152,5000000,19905359,,
153,,37000000,,
154,,35610100,,
155,8500000,29916207,,
156,,237000,,
157,,17583634,,
158,17000000,10626725,,
159,,5165432,,
160,8600000,8124257,,
161,,2447576,,
162,,15578237,,
163,,110014,,
164,,5229643,,
165,,29200000,,
166,800000,1118634,,
167,,,,
168,20000000,18826490,,
169,6000000,9566593,,
170,,20259961,,
171,,14923752,,
172,,12042,,
173,250000,,,
174,8000000,26154211,,
175,22000000,9171289,,
176,1500000,,,
177,18000000,12617845,,
178,14000000,2022771,,
179,,1169875,,
180,3800000,,,
181,2700000,3256082,,
182,,14492125,,
183,10000000,7258543,,
184,11000000,31261269,,
185,,2863642,,
186,12000000,2154696,,
187,,11809387,,
188,3500000,17569027,,
189,,1976198,,
190,13000000,8206145,,
191,46000000,5200986,,
192,14000000,4454295,,
193,12000000,3702028,,
194,16000000,10851261,,
195,,25524778,,
196,24000000,2004742,,
197,,18838812,,
198,2000000,1791147,,
199,,,,
200,,16000000,,
201,,6892098,,
202,,,,
203,,12000000,,
204,,17110,,
205,,1622898,,
206,4500000,27092880,,
207,28000000,41676878,,
208,15000000,19632053,,
209,20000000,68851475,,
210,10500000,792910554,,
211,15000000,125212904,,
212,7500000,129795554,,
213,13200000,15171476,,
214,50000000,57063861,,
215,10700000,77142388,,
216,12000000,78868508,,
217,11200000,78912963,,
218,,5588800,,
219,,5829781,,
220,12000000,30036000,,
221,22000000,52767889,,
222,21000000,177200000,,
223,17000000,33000525,,
224,7000000,14665733,,
225,20000000,2536242,,
226,17000000,125052686,,
227,8000000,14056528,,
228,8000000,21028755,,
229,3500000,20659423,,
230,12000000,22265763,,
231,18000000,7000000,,
232,6000000,6795771,,
233,2300000,36690067,,
234,18000000,46708276,,
235,2500000,14400000,,
236,15000000,41630431,,
237,16000000,53993738,,
238,300000,2032311,,
239,,16897768,,
240,,20225989,,
241,17000000,29712172,,
242,5000000,14099953,,
243,35000000,69701637,,
244,13000000,10278575,,
245,,21095638,,
246,,4968000,,
247,,28229046,,
248,3500000,6455330,,
249,9000000,13277558,,
250,15000000,27150534,,
251,17000000,47118057,,
252,425000,10604986,,
253,10000000,6110670,,
254,,39103425,,
255,2000000,16100000,,
256,4500000,10490791,,
257,20000000,5675599,,
258,16000000,5672311,,
259,9000000,18196170,,
260,5000000,12534817,,
261,9500000,14000000,,
262,,,,
263,,11378339,,
264,11300000,5301539,,
265,,19282134,,
266,,7400000,,
267,750000,,,
268,,1515578,,
269,13000000,5005245,,
270,,30688860,,
271,,20123620,,
272,10000000,5979947,,
273,800000,2270,,
274,,11897978,,
275,2000000,4484991,,
276,,7742572,,
277,850000,840958,,
278,6000000,2666873,,
279,6000000,9056073,,
280,,1054328,,
281,22000000,6118683,,
282,,15782759,,
283,,9077269,,
284,,13253583,,
