Id,Director,writer,actor,crew
1,Stanley Kubrick,Stephen King,Jack Nicholson,134
2,Randal Kleiser,Henry De Vere Stacpoole,Brooke Shields,119
3,Irvin Kershner,Leigh Brackett,Mark Hamill,80
4,Jim Abrahams,Jim Abrahams,Robert Hays,17
5,Harold Ramis,Brian Doyle-Murray,Chevy Chase,117
6,Sean S. Cunningham,Victor Miller,Betsy Palmer,20
7,John Landis,Dan Aykroyd,John Belushi,129
8,Martin Scorsese,Jake LaMotta,Robert De Niro,59
9,Richard Lester,Jerry Siegel,Gene Hackman,121
10,Walter Hill,Bill Bryden,David Carradine,139
11,Buddy Van Horn,Stanford Sherman,Clint Eastwood,93
12,Jamie Uys,Jamie Uys,N!xau,134
13,Robert Altman,Jules Feiffer,Robin Williams,42
14,Robert Redford,Judith Guest,Donald Sutherland,115
15,Brian De Palma,Brian De Palma,Michael Caine,29
16,Jeannot Szwarc,Richard Matheson,Christopher Reeve,47
17,Alan Parker,Christopher Gore,Eddie Barth,143
18,Colin Higgins,Patricia Resnick,Jane Fonda,136
19,John Carpenter,John Carpenter,Adrienne Barbeau,67
20,Sidney Poitier,Bruce Jay Friedman,Gene Wilder,39
21,William Friedkin,William Friedkin,Al Pacino,79
22,Michael Cimino,Michael Cimino,Kris Kristofferson,137
23,Don Taylor,Thomas Hunter,Kirk Douglas,142
24,Robert Greenwald,Richard Christian Danus,Olivia Newton-John,26
25,James Bridges,Aaron Latham,John Travolta,127
26,Ken Russell,Paddy Chayefsky,William Hurt,120
27,Ron Maxwell,Kimi Peck,Tatum O'Neal,15
28,Jerry Jameson,Adam Kennedy,Jason Robards,41
29,Stuart Rosenberg,W.D. Richter,Robert Redford,126
30,Paul Schrader,Paul Schrader,Richard Gere,68
31,Tony Bill,Alan Ormsby,Chris Makepeace,108
32,Paul Lynch,William Gray,Leslie Nielsen,47
33,Hal Needham,Hal Needham,Burt Reynolds,32
34,Lamont Johnson,David Eyre,Scott Glenn,49
35,Jay Sandrich,Neil Simon,Goldie Hawn,126
36,Howard Zieff,Nancy Meyers,Goldie Hawn,70
37,Floyd Mutrux,Floyd Mutrux,Tony Danza,15
38,Kevin Connor,Robert Jaffe,Rory Calhoun,108
39,Richard Fleischer,Samson Raphaelson,Laurence Olivier,44
40,Michael Apted,Thomas Rickman,Sissy Spacek,62
41,John Hough,Brian Clemens,Bette Davis,40
42,Bruce Beresford,Jonathan Hardy,Edward Woodward,48
43,Richard Rush,Lawrence B. Marcus,Peter O'Toole,23
44,Art Linson,Hunter S. Thompson,Peter Boyle,115
45,Mike Newell,Allan Scott,Charlton Heston,75
46,Tommy Chong,Tommy Chong,Cheech Marin,69
47,Michael Ritchie,Peter Benchley,Michael Caine,146
48,Ulli Lommel,Ulli Lommel,Suzanna Love,33
49,Clive Donner,Mel Brooks,Don Adams,106
50,Moustapha Akkad,David Butler,Anthony Quinn,19
51,Woody Allen,Woody Allen,Woody Allen,110
52,Jonathan Demme,Bo Goldman,Paul Le Mat,38
53,Nancy Walker,Bronte Woodard,Ray Simpson,58
54,Clint Eastwood,Dennis Hackin,Clint Eastwood,31
55,Federico Fellini,Federico Fellini,Marcello Mastroianni,131
56,Lang Elliott,Tim Conway,Tim Conway,18
57,James Goldstone,Gordon Thomas,Paul Newman,117
58,Joe Camp,Rod Browning,Chevy Chase,103
59,Eric Karson,Leigh Chapman,Chuck Norris,147
60,James L. Conway,Ken Pettus,Darren McGavin,62
61,Vincent McEveety,Don Tait,Charles Martin Smith,141
62,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,62
63,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,101
64,Jerry Schatzberg,Gösta Stevens,Willie Nelson,30
65,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,31
66,Anne Bancroft,Anne Bancroft,Dom DeLuise,132
67,Vladimir Menshov,Valentin Chernykh,Vera Alentova,69
68,Piers Haggard,Rudy Dochtermann,Peter Sellers,26
69,Bill Persky,Cyra McFadden,Martin Mull,121
70,Martin Davidson,AJ Carothers,John Ritter,109
71,Gary Weis,Guy Thomas,Dudley Moore,97
72,Bill Melendez,Charles M. Schulz,Scott Beach,55
73,Marty Feldman,Marty Feldman,Marty Feldman,43
74,Alan Rudolph,Big Boy Medlin,Meat Loaf,24
75,Sidney Lumet,Jay Presson Allen,Ali MacGraw,96
76,Charles Jarrott,Ernest K. Gann,Elliott Gould,104
77,Walter Bernstein,Damon Runyon,Walter Matthau,99
78,Paul Mazursky,Jean Gruault,Michael Ontkean,45
79,Franco Rosso,Franco Rosso,David N. Haynes,92
80,Kieth Merrill,Ray Goldrup,Trevor Howard,19
81,John Huston,Gary Sherman,Paul Michael Glaser,41
82,Gordon Willis,Barry Siegel,Talia Shire,137
83,Jack Smight,Martin Donovan,Shirley MacLaine,41
84,Paul Grimault,Hans Christian Andersen,Jean Martin,64
85,Gilbert Cates,Josh Greenfeld,George Burns,100
86,Michael Pressman,David Shaber,Frank Langella,52
87,Édouard Molinaro,Jean Poiret,Michel Serrault,147
88,Chuck Barris,Chuck Barris,Chuck Barris,21
89,Mike Nichols,Anne Beatts,Gilda Radner,135
90,Larry Peerce,Hollis Hodges,Treat Williams,100
91,Buck Henry,Buck Henry,Bob Newhart,64
92,Wing-Cho Yip,Hsin-Yi Chang,Ka-Yan Leung,44
93,Steven Spielberg,Lawrence Kasdan,Harrison Ford,116
94,Lawrence Kasdan,Lawrence Kasdan,William Hurt,57
95,John Landis,John Landis,David Naughton,45
96,John Carpenter,John Carpenter,Kurt Russell,57
97,Sam Raimi,Sam Raimi,Bruce Campbell,64
98,Bob Clark,Bob Clark,Dan Monahan,48
99,Brian De Palma,Brian De Palma,John Travolta,109
100,Desmond Davis,Beverley Cross,Laurence Olivier,81
101,John Boorman,Thomas Malory,Nigel Terry,129
102,George Miller,Terry Hayes,Mel Gibson,99
103,Wolfgang Petersen,Wolfgang Petersen,Jürgen Prochnow,147
104,Ivan Reitman,Len Blum,Bill Murray,97
105,Andrzej Zulawski,Andrzej Zulawski,Isabelle Adjani,68
106,Hal Needham,Brock Yates,Burt Reynolds,31
107,Michael Mann,Frank Hohimer,James Caan,125
108,Franco Zeffirelli,Scott Spencer,Brooke Shields,57
109,Terry Gilliam,Michael Palin,Sean Connery,123
110,Alan Alda,Alan Alda,Alan Alda,73
111,Steve Miner,Ron Kurz,Betsy Palmer,88
112,David Cronenberg,David Cronenberg,Jennifer O'Neill,58
113,John Glen,Richard Maibaum,Roger Moore,130
114,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,132
115,Harold Becker,Darryl Ponicsan,George C. Scott,146
116,Warren Beatty,Warren Beatty,Warren Beatty,87
117,Mark Rydell,Ernest Thompson,Katharine Hepburn,71
118,Directors,Daniel P. Mannix,Mickey Rooney,141
119,Hugh Hudson,Colin Welland,Ben Cross,139
120,Sydney Pollack,Kurt Luedtke,Paul Newman,68
121,John Derek,Tom Rowe,Bo Derek,87
122,John Huston,Yabo Yablonsky,Michael Caine,120
123,Steve Gordon,Steve Gordon,Dudley Moore,70
124,Louis Malle,Wallace Shawn,Andre Gregory,46
125,Carl Gottlieb,Rudy De Luca,Ringo Starr,71
126,Gary Sherman,Jeff Millar,James Farentino,140
127,Mel Brooks,Mel Brooks,Mel Brooks,95
128,Joe Dante,Gary Brandner,Dee Wallace,121
129,Matthew Robbins,Hal Barwood,Peter MacNicol,71
130,Ivan Passer,Newton Thornburg,Jeff Bridges,15
131,Jean-Jacques Annaud,Gérard Brach,Everett McGill,78
132,Graham Baker,David Seltzer,Sam Neill,81
133,Frank Perry,Christina Crawford,Faye Dunaway,60
134,Alan Myerson,Dan Greenburg,Sylvia Kristel,51
135,Bob Rafelson,David Mamet,Jack Nicholson,98
136,Milos Forman,E.L. Doctorow,James Cagney,133
137,Wes Craven,Glenn M. Benest,Maren Jensen,45
138,Peter Yates,Steve Tesich,William Hurt,126
139,Peter Weir,David Williamson,Mel Gibson,121
140,Peter Hyams,Peter Hyams,Sean Connery,48
141,Walter Hill,Michael Kane,Keith Carradine,33
142,Blake Edwards,Blake Edwards,Julie Andrews,15
143,Lucio Fulci,Dardano Sacchetti,Catriona MacColl,24
144,John Irvin,Peter Straub,Craig Wasson,146
145,George Mihalka,Stephen A. Miller,Paul Kelman,139
146,Tobe Hooper,Lawrence J. Block,Elizabeth Berridge,29
147,Francis Ford Coppola,Armyan Bernstein,Frederic Forrest,32
148,Karel Reisz,John Fowles,Meryl Streep,114
149,Jim Henson,Tom Patchett,Jim Henson,36
150,Ulu Grosbard,John Gregory Dunne,Robert De Niro,135
151,Michael Crichton,Michael Crichton,Albert Finney,81
152,Bruce Malmuth,David Shaber,Sylvester Stallone,61
153,Tommy Chong,Tommy Chong,Cheech Marin,142
154,Burt Reynolds,William Diehl,Burt Reynolds,52
155,John G. Avildsen,Thomas Berger,John Belushi,125
156,Bruce Beresford,Margaret Kelly,Nell Schofield,42
157,Richard Marquand,Ken Follett,Donald Sutherland,118
158,Michael Wadleigh,Whitley Strieber,Albert Finney,98
159,Mickey Rose,Mickey Rose,Kristen Riter,118
160,Sidney Lumet,Jay Presson Allen,Treat Williams,139
161,Oliver Stone,Marc Brandel,Michael Caine,19
162,Michael Apted,Lawrence Kasdan,John Belushi,81
163,Jean-Jacques Beineix,Daniel Odier,Wilhelmenia Fernandez,49
164,Piers Haggard,Alan Scholefield,Klaus Kinski,149
165,Daniel Petrie,Heywood Gould,Paul Newman,31
166,Ken Wiederhorn,Ron Kurz,Lauren Tewes,138
167,Peter Medak,Hal Dresner,George Hamilton,51
168,Steve Rash,Fred Bauer,Chevy Chase,42
169,Michael Schultz,Stanley Shapiro,George Segal,148
170,Joel Schumacher,Richard Matheson,Lily Tomlin,83
171,Ron Maxwell,Bob Bonney,Kristy McNichol,105
172,James Ivory,Jean Rhys,Isabelle Adjani,39
173,Herb Freed,Anne Marisse,Christopher George,61
174,Ken Shapiro,Ken Shapiro,Chevy Chase,118
175,Herbert Ross,Dennis Potter,Steve Martin,103
176,Ralph Bakshi,Ronni Kern,Mews Small,15
177,William A. Fraker,Ivan Goff,Klinton Spilsbury,54
178,Franklin J. Schaffner,John Byrum,Lesley-Anne Down,23
179,Ken Hughes,Ruth Avergon,Leonard Mann,32
180,Steve Carver,James Bruner,Chuck Norris,128
181,Luis Valdez,Luis Valdez,Daniel Valdez,63
182,George Cukor,Gerald Ayres,Jacqueline Bisset,65
183,Billy Wilder,Francis Veber,Jack Lemmon,92
184,Oz Scott,Lonne Elder III,Richard Pryor,45
185,Albert Brooks,Albert Brooks,Albert Brooks,105
186,Allan Arkush,John Hill,Andy Kaufman,82
187,Martin Ritt,Gary DeVore,Sally Field,45
188,Gus Trikonis,Barry Schneider,Robert Hays,74
189,Jack Fisk,William D. Wittliff,Sissy Spacek,107
190,John Badham,Brian Clark,Richard Dreyfuss,90
191,Terence Young,Robin Moore,Laurence Olivier,150
192,Jean-Claude Tramont,W.D. Richter,Gene Hackman,60
193,Roger Spottiswoode,J.D. Reed,Robert Duvall,78
194,Alan J. Pakula,Howard Kohn,Jane Fonda,44
195,Glenn Jordan,Neil Simon,Marsha Mason,54
196,John Schlesinger,Edward Clinton,David Rasche,36
197,David Steinberg,Charlie Peters,Burt Reynolds,147
198,Noel Nosseck,David Barry,Harry Hamlin,69
199,Byron Quisenberry,Byron Quisenberry,Pepper Martin,102
200,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,33
201,Charles Jarrott,Robert Littell,John Savage,132
202,E.W. Swackhamer,Barry Rosen,Leif Garrett,141
203,Ferdinando Baldi,Wolfe Lowenthal,Tony Anthony,127
204,Jacques Rivette,Bulle Ogier,Bulle Ogier,109
205,Allan King,Olive Frederickson,Ellen Burstyn,113
206,Amy Heckerling,Cameron Crowe,Sean Penn,42
